Movie Title,Movie Release Year,IMDb Rating,Movie Duration,Movie Rating (MPA),Movie URL IMDb
239. Rebecca,1940,8.1,2h 10m,Approved,https://www.imdb.com/title/tt0032976/?ref_=chttp_t_239
240. Cool Hand Luke,1967,8.1,2h 7m,GP,https://www.imdb.com/title/tt0061512/?ref_=chttp_t_240
241. The Sound of Music,1965,8.1,2h 52m,G,https://www.imdb.com/title/tt0059742/?ref_=chttp_t_241
242. Pather Panchali,1955,8.2,2h 5m,Not Rated,https://www.imdb.com/title/tt0048473/?ref_=chttp_t_242
243. It Happened One Night,1934,8.1,1h 45m,Passed,https://www.imdb.com/title/tt0025316/?ref_=chttp_t_243
244. The Iron Giant,1999,8.1,1h 26m,PG,https://www.imdb.com/title/tt0129167/?ref_=chttp_t_244
245. The Help,2011,8.1,2h 26m,PG-13,https://www.imdb.com/title/tt1454029/?ref_=chttp_t_245
246. The 400 Blows,1959,8.1,1h 39m,Not Rated,https://www.imdb.com/title/tt0053198/?ref_=chttp_t_246
247. Persona,1966,8.1,1h 23m,Not Rated,https://www.imdb.com/title/tt0060827/?ref_=chttp_t_247
248. Life of Brian,1979,8.0,1h 34m,R,https://www.imdb.com/title/tt0079470/?ref_=chttp_t_248
249. Aladdin,1992,8.0,1h 30m,G,https://www.imdb.com/title/tt0103639/?ref_=chttp_t_249
250. Drishyam,2015,8.2,2h 43m,Not Rated,https://www.imdb.com/title/tt4430212/?ref_=chttp_t_250
