Movie Title,Movie Release Year,IMDb Rating,Movie Duration,Movie Rating (MPA),Movie URL IMDb
55. Apocalypse Now,1979,8.4,2h 27m,R,https://www.imdb.com/title/tt0078788/?ref_=chttp_t_55
56. Memento,2000,8.4,1h 53m,R,https://www.imdb.com/title/tt0209144/?ref_=chttp_t_56
57. Django Unchained,2012,8.5,2h 45m,R,https://www.imdb.com/title/tt1853728/?ref_=chttp_t_57
58. Raiders of the Lost Ark,1981,8.4,1h 55m,PG,https://www.imdb.com/title/tt0082971/?ref_=chttp_t_58
59. WALL·E,2008,8.4,1h 38m,G,https://www.imdb.com/title/tt0910970/?ref_=chttp_t_59
60. The Lives of Others,2006,8.4,2h 17m,R,https://www.imdb.com/title/tt0405094/?ref_=chttp_t_60
61. Sunset Blvd.,1950,8.4,1h 50m,Passed,https://www.imdb.com/title/tt0043014/?ref_=chttp_t_61
62. Paths of Glory,1957,8.4,1h 28m,Approved,https://www.imdb.com/title/tt0050825/?ref_=chttp_t_62
63. Avengers: Infinity War,2018,8.4,2h 29m,PG-13,https://www.imdb.com/title/tt4154756/?ref_=chttp_t_63
64. The Shining,1980,8.4,2h 26m,R,https://www.imdb.com/title/tt0081505/?ref_=chttp_t_64
65. The Great Dictator,1940,8.4,2h 5m,G,https://www.imdb.com/title/tt0032553/?ref_=chttp_t_65
66. Witness for the Prosecution,1957,8.4,1h 56m,Approved,https://www.imdb.com/title/tt0051201/?ref_=chttp_t_66
67. Spider-Man: Into the Spider-Verse,2018,8.4,1h 57m,PG,https://www.imdb.com/title/tt4633694/?ref_=chttp_t_67
68. Aliens,1986,8.4,2h 17m,R,https://www.imdb.com/title/tt0090605/?ref_=chttp_t_68
69. Inglourious Basterds,2009,8.3,2h 33m,R,https://www.imdb.com/title/tt0361748/?ref_=chttp_t_69
70. The Dark Knight Rises,2012,8.4,2h 44m,PG-13,https://www.imdb.com/title/tt1345836/?ref_=chttp_t_70
71. American Beauty,1999,8.3,2h 2m,R,https://www.imdb.com/title/tt0169547/?ref_=chttp_t_71
72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,1h 35m,PG,https://www.imdb.com/title/tt0057012/?ref_=chttp_t_72
73. Oldboy,2003,8.4,2h,R,https://www.imdb.com/title/tt0364569/?ref_=chttp_t_73
74. Coco,2017,8.4,1h 45m,PG,https://www.imdb.com/title/tt2380307/?ref_=chttp_t_74
75. Amadeus,1984,8.4,2h 40m,PG,https://www.imdb.com/title/tt0086879/?ref_=chttp_t_75
76. Toy Story,1995,8.3,1h 21m,G,https://www.imdb.com/title/tt0114709/?ref_=chttp_t_76
77. Das Boot,1981,8.4,2h 29m,Not Provided,https://www.imdb.com/title/tt0082096/?ref_=chttp_t_77
78. Braveheart,1995,8.3,2h 58m,R,https://www.imdb.com/title/tt0112573/?ref_=chttp_t_78
79. Avengers: Endgame,2019,8.4,3h 1m,PG-13,https://www.imdb.com/title/tt4154796/?ref_=chttp_t_79
80. Joker,2019,8.4,2h 2m,R,https://www.imdb.com/title/tt7286456/?ref_=chttp_t_80
81. Princess Mononoke,1997,8.3,2h 14m,PG-13,https://www.imdb.com/title/tt0119698/?ref_=chttp_t_81
82. Good Will Hunting,1997,8.3,2h 6m,R,https://www.imdb.com/title/tt0119217/?ref_=chttp_t_82
83. Once Upon a Time in America,1984,8.3,3h 49m,R,https://www.imdb.com/title/tt0087843/?ref_=chttp_t_83
84. Your Name.,2016,8.4,1h 46m,TV-PG,https://www.imdb.com/title/tt5311514/?ref_=chttp_t_84
85. 3 Idiots,2009,8.4,2h 50m,PG-13,https://www.imdb.com/title/tt1187043/?ref_=chttp_t_85
86. High and Low,1963,8.4,2h 23m,Not Rated,https://www.imdb.com/title/tt0057565/?ref_=chttp_t_86
87. Singin' in the Rain,1952,8.3,1h 43m,G,https://www.imdb.com/title/tt0045152/?ref_=chttp_t_87
88. Capernaum,2018,8.4,2h 6m,R,https://www.imdb.com/title/tt8267604/?ref_=chttp_t_88
89. Requiem for a Dream,2000,8.3,1h 42m,Unrated,https://www.imdb.com/title/tt0180093/?ref_=chttp_t_89
90. Toy Story 3,2010,8.3,1h 43m,G,https://www.imdb.com/title/tt0435761/?ref_=chttp_t_90
91. Come and See,1985,8.4,2h 22m,Not Rated,https://www.imdb.com/title/tt0091251/?ref_=chttp_t_91
